Pricing Date,Settlement Date,Bond Ticker,Issuer,Moody’s Rating,Moody's Outlook,S&P Rating,S&P Outlook,Fitch Rating,Fitch Outlook,Moody's/S&P/Fitch Rating,No. of B's,Rank ,Bail-in,Asset Class,Total Deal Size (USD),Deal Size (Lcl Ccy),Tranche Size (USD),Tenor,No of Tranches,Structure,Coupon Type,Coupon Rate (Fixed %; FRN if Float),Call Date,Maturity,Benchmark,Spread ,Spread to Gov Benchmark,Free r,Rate Type Selection,3mL Equivalent (bps),IPT Spread,Guidance,Area,M/S Equivalent,Spread vs. Midswaps,MS,New Issue Premium,Movement from IPTS,Orderbook Size (mm),Over Subscription,Yield,Price,League Table Eligible,Issuer Type,Product Type ,BofA ML Role,# of Bookrunners,# of Active,# of Passive,Listing,CoC,Coupon Steps,Par Call,Make Whole,Marketing,Special Mandatory Redemption,UOP 1,UOP 2,Denom,Phy. Bks,Self Led,Bk1,Bk2,Bk3,Bk4,Bk5,Bk6,Bk7,Bk8,Bk9,Bk10,B&D Agent,Distribution,Add-On,Tapped Bond,Industry ,Sub industry,CUSIP,ISIN ,Week Start,Quarter,Deal,Country ,Sub-Region,Region,No-Grow,Tranche Size (Local),Tranche Currency,FX Rate per USD,Call Structure,Special Call Features,Par Call Period,Up/Downsized,First Time Bond Issuer,Price Execution,Tranche Comments,Coupon Rate Comments,General Comments (deal level),Bond Ticker,Desk,Gross Spread ,Total Fees,Unequal Economics,Jt Ld 1,Jt Ld 2,Jt Ld 3,Jt Ld 4,Jt Ld 5,Co1,Co 2,Co 3,Co 4,Co 5,IsYield,IsDM,IsSpread,IssueBenchmark,Price0,Yield0,Spread0,Performance0,Price1,Yield1,Spread1,Performance1,Price2,Yield2,Spread2,Performance2,Price3,Yield3,Spread3,Performance3,Price4,Yield4,Spread4,Performance4,Price5,Yield5,Spread5,Performance5,Price6,Yield6,Spread6,Performance6,Price7,Yield7,Spread7,Performance7,Price8,Yield8,Spread8,Performance8,Price9,Yield9,Spread9,Performance9,Price10,Yield10,Spread10,Performance10,Vix,Vix5d,Srvix,Srvix5d,CdxIg,CdxIg5d,Usgg2y,Usgg2y5d,Usgg3y,Usgg3y5d,Usgg5y,Usgg5y5d,Usgg10y,Usgg10y5d,Usgg30y,Usgg30y5d,Ticker,EnterpriseValue
06/25/2020,06/30/2020,BANR,Banner Corporation,NR,-,NR,-,NR,-,NR / NR / NR,-,Sub,-, -,100, -,100,10,1,NC5,Fixed to FRN,-,-,06/30/2030,N/A,500,0,-,-,-,525,0,0,-,-,0,N/A,25,-,2,5,100,Yes,FIG,Investment Grade,Active,2,2,-,-,No,No,No,No,No,No,GCP,Acquisition,1000,,No,BofA,Piper,-,-,-,-,-,-,-,-,BofA,Public Offering,-,-,Financial Institutions,Finance,06652VAA7,US06652VAA70,06/22/2020,2,1,United States of America,US,US, ,100,USD,1,NC5,-,-,-,-,-,-,-,-,BANR,AMRS,N/A,-,No,-,-,-,-,-,-,-,-,-,-,Y,N,N,#N/A Field Not Applicable,99.75,5.057,505.7,5.7,99.75,5.057,505.7,5.7,99.75,5.057,505.7,5.7,99.75,5.057,505.7,5.7,99.75,5.057,505.7,5.7,99.75,5.057,505.7,5.7,99.75,5.057,505.7,5.7,99.75,5.057,505.7,5.7,99.75,5.057,505.7,5.7,99.75,5.057,505.7,5.7,99.75,5.057,505.7,5.7,32.22,-2.19,66.81,-0.07,78.226,4.92,0.1857,-3.956,0.2051,-8.3302,0.332,-0.2563,0.6856,-3.2279,1.4344,-3.1849,BANR US Equity,#N/A N/A
06/25/2020,07/02/2020,UAL,Mileage Plus Holdings (United Airlines),Baa3,Stable,NR,-,BBB-,Stable,Baa3 / NR / BBB-,6,Secured,-, -,3800, -,3800,7,1,NC3,Fixed,6.5,-,06/20/2027,0.5% 7yr UST due 05/31/27,648,0,-51,-,-,0,0,0,-,-,0,N/A,-648,-,N/A,7,98.75,Yes,CORP,Investment Grade,No Role,3,3,-,-,Yes,No,No,Yes,No,No,Refi-General,GCP,1,,No,GS,Barc,MS,-,-,-,-,-,-,-,-,144a/Reg S,-,-,Industrials,Airlines,599191AA1,US599191AA16,06/22/2020,2,1,United States of America,US,US, ,3800,USD,1,NC3,-,-,800,-,-,-,-,-,UAL,AMRS,N/A,-,No,-,-,-,-,-,-,-,-,-,-,N,N,Y,912828ZS Govt,101.258,6.179,568.5912,-79.4088,101.258,6.179,568.5915,-79.4085,101.258,6.179,568.5924,-79.4076,101.258,6.179,568.5926,-79.4074,101.258,6.179,568.5929,-79.4071,101.258,6.179,568.5932,-79.4068,101.258,6.179,568.5935,-79.4065,101.258,6.179,568.5943,-79.4057,101.258,6.179,568.5946,-79.4054,101.258,6.179,568.5949,-79.4051,101.258,6.179,568.5952,-79.4048,32.22,-2.19,66.81,-0.07,78.226,4.92,0.1857,-3.956,0.2051,-8.3302,0.332,-0.2563,0.6856,-3.2279,1.4344,-3.1849,1281118D US Equity,#N/A N/A
06/25/2020,06/29/2020,INTU,Intuit Inc,A3,Stable,A-,Stable,NR,-,A3 / A- / NR,-,Sr,-, -,2000, -,500,3,4,NCL,Fixed,0.65,-,07/15/2023,0.25% 3yr UST due 06/15/23,45,0,-3,-,-,85,50,5,-,-,0,N/A,40,-,5.4,0.658,99.976,Yes,CORP,Investment Grade,Active,6,2,4,-,Yes,No,No,Yes,No,No,MandA,Refi-General,2000,,No,BofA,JPM,MUFG,US Bancorp,Scotia,WFS,-,-,-,-,BofA,Public Offering,-,-,Technology,Software,46124HAA4,US46124HAA41,06/22/2020,2,1,United States of America,US,US, ,500,USD,1,NCL,-,-,-,-,-,-,-,-,INTU,AMRS,N/A,-,No,-,-,-,-,-,HSBC,Barc,Siebert,Loop,-,N,N,Y,912828ZU Govt,100.238,0.571,36.5999,-8.4001,100.225,0.575,39.1213,-5.8787,100.225,0.575,40.7166,-4.2834,100.225,0.575,39.399,-5.601,100.225,0.575,39.4054,-5.5946,100.225,0.575,39.4245,-5.5755,100.225,0.575,39.431,-5.569,100.225,0.575,39.4374,-5.5626,100.225,0.575,39.4438,-5.5562,100.225,0.575,39.4503,-5.5497,100.225,0.575,39.4697,-5.5303,32.22,-2.19,66.81,-0.07,78.226,4.92,0.1857,-3.956,0.2051,-8.3302,0.332,-0.2563,0.6856,-3.2279,1.4344,-3.1849,INTU US Equity,71989.7244
06/25/2020,06/29/2020,INTU,Intuit Inc,A3,Stable,A-,Stable,NR,-,A3 / A- / NR,-,Sr, , -,2000, -,500,5,4,NCL,Fixed,0.95,-,07/15/2025,0.25% 5yr UST due 05/31/25,65,0,-3,-,-,105,70,5,-,-,0,N/A,40,-,5.5,0.966,99.921,Yes,CORP,Investment Grade,Active,6,2,4,-,Yes,No,Yes,Yes,No,No,MandA,Refi-General,2000,,No,BofA,JPM,MUFG,US Bancorp,Scotia,WFS,-,-,-,-,BofA,Public Offering, ,-,Technology,Software,46124HAB2,US46124HAB24,06/22/2020,2,0,United States of America,US,US, ,500,USD,1,NCL,-,1,-,-,-,-,-,-,INTU,AMRS,N/A,-,No,-,-,-,-,-,HSBC,Barc,Siebert,Loop,-,N,N,Y,912828ZT Govt,100.314,0.885,56.6141,-8.3859,100.247,0.899,60.8977,-4.1023,100.111,0.927,66.5797,1.5797,100.392,0.869,58.6953,-6.3047,100.392,0.869,58.6935,-6.3065,100.392,0.869,58.6882,-6.3118,100.392,0.869,58.6865,-6.3135,100.392,0.869,58.6847,-6.3153,100.392,0.869,58.6829,-6.3171,100.392,0.869,58.6811,-6.3189,100.392,0.869,58.6758,-6.3242,32.22,-2.19,66.81,-0.07,78.226,4.92,0.1857,-3.956,0.2051,-8.3302,0.332,-0.2563,0.6856,-3.2279,1.4344,-3.1849,INTU US Equity,71989.7244
06/25/2020,06/29/2020,INTU,Intuit Inc,A3,Stable,A-,Stable,NR,-,A3 / A- / NR,-,Sr, , -,2000, -,500,7,4,NCL,Fixed,1.35,-,07/15/2027,0.5% 7yr UST due 05/31/27,85,0,-17,-,-,125,90,5,-,-,0,N/A,40,-,5.92,1.364,99.906,Yes,CORP,Investment Grade,Active,6,2,4,-,Yes,No,Yes,Yes,No,No,MandA,Refi-General,2000,,No,BofA,JPM,MUFG,US Bancorp,Scotia,WFS,-,-,-,-,BofA,Public Offering,-,-,Technology,Software,46124HAC0,US46124HAC07,06/22/2020,2,0,United States of America,US,US, ,500,USD,1,NCL,-,2,-,-,-,-,-,-,INTU,AMRS,N/A,-,No,-,-,-,-,-,HSBC,Barc,Siebert,Loop,-,N,N,Y,912828ZS Govt,100.453,1.281,76.2595,-8.7405,100.479,1.277,79.5399,-5.4601,100.34,1.298,83.7073,-1.2927,100.34,1.298,80.4912,-4.5088,100.34,1.298,80.4915,-4.5085,100.34,1.298,80.4924,-4.5076,100.34,1.298,80.4926,-4.5074,100.34,1.298,80.4929,-4.5071,100.34,1.298,80.4932,-4.5068,100.34,1.298,80.4935,-4.5065,100.34,1.298,80.4943,-4.5057,32.22,-2.19,66.81,-0.07,78.226,4.92,0.1857,-3.956,0.2051,-8.3302,0.332,-0.2563,0.6856,-3.2279,1.4344,-3.1849,INTU US Equity,71989.7244
06/25/2020,06/29/2020,INTU,Intuit Inc,A3,Stable,A-,Stable,NR,-,A3 / A- / NR,-,Sr, , -,2000, -,500,10,4,NCL,Fixed,1.65,-,07/15/2030,0.625% 10yr UST due 05/15/30,100,0,-3,-,-,140,105,5,-,-,0,N/A,40,-,4.6,1.676,99.76,Yes,CORP,Investment Grade,Active,6,2,4,-,Yes,No,Yes,Yes,No,No,MandA,Refi-General,2000,,No,BofA,JPM,MUFG,US Bancorp,Scotia,WFS,-,-,-,-,BofA,Public Offering,-,-,Technology,Software,46124HAD8,US46124HAD89,06/22/2020,2,0,United States of America,US,US, ,500,USD,1,NCL,-,3,-,-,-,-,-,-,INTU,AMRS,N/A,-,No,-,-,-,-,-,HSBC,Barc,Siebert,Loop,-,N,N,Y,912828ZQ Govt,100.136,1.635,94.9378,-5.0622,100.135,1.635,99.3655,-0.6345,99.852,1.666,104.2641,4.2641,100.55,1.589,91.9767,-8.0233,100.55,1.589,91.9755,-8.0245,100.55,1.589,91.972,-8.028,100.55,1.589,91.9708,-8.0292,100.55,1.589,91.9697,-8.0303,100.55,1.589,91.9685,-8.0315,100.55,1.589,91.9673,-8.0327,100.55,1.589,91.9638,-8.0362,32.22,-2.19,66.81,-0.07,78.226,4.92,0.1857,-3.956,0.2051,-8.3302,0.332,-0.2563,0.6856,-3.2279,1.4344,-3.1849,INTU US Equity,71989.7244
06/24/2020,07/02/2020,ALK,Alaska Airlines Inc,NR,-,BBB,-,BBB,-,NR / BBB / BBB,6,Sr, , -,208.147, -,208.147,5,1,NCL,Fixed,8,-,08/15/2025,0.25% 5yr UST due 05/31/25,800,,-46,-,-,806.25,0,0,-,-,,N/A,6.25,-,1.9,8,100,Yes,CORP,Investment Grade,Active,4,3,1,-,No,No,No,No,No,No,GCP,-,2000,,No,BofA,Citi,MS,CA,-,-,-,-,-,-,BofA,144a/Reg S,-,-,Industrials,Airlines,01166WAA5,US01166WAA53,06/22/2020,2,1,United States of America,US,US, ,208.147,USD,1,NCL,-,-,-,-,-,-,-,-,ALK,AMRS,N/A,-,No,-,-,-,-,-,-,-,-,-,-,Y,N,N,#N/A Field Not Applicable,102.011,7.233,723.3,-76.7,102.011,7.233,723.3,-76.7,102.011,7.233,723.3,-76.7,102.011,7.233,723.3,-76.7,102.011,7.233,723.3,-76.7,102.011,7.233,723.3,-76.7,102.011,7.233,723.3,-76.7,102.011,7.233,723.3,-76.7,102.011,7.233,723.3,-76.7,102.011,7.233,723.3,-76.7,102.011,7.233,723.3,-76.7,33.84,1.11,66.52,-1.25,78.508,9.9,0.1876,-3.8937,0.2104,-7.0545,0.3155,-8.2771,0.679,-8.0001,1.4291,-6.5637,ALK US Equity,5993.7109
06/24/2020,06/29/2020,ATH,Athene Global Funding,NR,-,A,Stable,A,Stable,NR / A / A,-,FA Backed, , -,300, -,300,5,1,NCL,Fixed,2.55,-,06/29/2025,0.25% 5yr UST due 05/31/25,225,,-2,-,-,240,0,0,-,-,,5,15,-,1.7,2.567,99.921,Yes,FIG,Investment Grade,Active,3,3,-,-,No,No,No,No,No,No,GCP,-,2000,,No,BofA,DB,WFS,-,-,-,-,-,-,-,DB,144a/Reg S,-,-,Financial Institutions,Insurance,04685A2N0,US04685A2N06,06/22/2020,2,1,United States of America,US,US, ,300,USD,1,NCL,-,-,-,-,-,-,-,-,ATH,AMRS,N/A,-,No,-,-,-,-,-,-,-,-,-,-,N,N,Y,912828ZT Govt,#N/A N/A,#N/A N/A,#N/A Invalid Override,#VALUE!,100.225,2.502,221.1977,-3.8023,99.946,2.562,230.0797,5.0797,100.018,2.546,226.3953,1.3953,100.018,2.546,226.3935,1.3935,100.018,2.546,226.3882,1.3882,100.018,2.546,226.3865,1.3865,100.018,2.546,226.3847,1.3847,100.018,2.546,226.3829,1.3829,100.018,2.546,226.3811,1.3811,100.018,2.546,226.3758,1.3758,33.84,1.11,66.52,-1.25,78.508,9.9,0.1876,-3.8937,0.2104,-7.0545,0.3155,-8.2771,0.679,-8.0001,1.4291,-6.5637,ATH US Equity,2579.8876
06/24/2020,06/29/2020,TOTAL,Total Capital International,Aa3,Negative,A+,Negative,NR,-,Aa3 / A+ / NR,-,Sr,-, -,1600, -,800,21,2,NCL,Fixed,2.986,-,06/29/2041,2% 30yr UST due 02/15/50,155,0,-6,-,-,165,155,0,-,-,0,15,10,-,1.63,2.986,100,Yes,CORP,Investment Grade,Active,9,9,-,-,No,No,Yes,Yes,No,No,Refi - Bank,GCP,2000,,No,Barc,BofA,Citi,Credit Agricole Corporate and Investment Bank (New York),DB,HSBC,MS,MUFG,Std Chrtrd,-,DB,Public Offering,-,-,Energy & Power,Majors/Integrateds,89153VAX7,US89153VAX73,06/22/2020,2,1,France,W. Europe,Europe, ,800,USD,1,NCL,-,6,-,-,-,-,-,-,TOTAL,"AMRS,EMEA",N/A,-,No,-,-,-,-,-,-,-,-,-,-,N,N,Y,912810SL Govt,101.835,2.867,144.45,-10.55,102.1,2.85,149.235,-5.765,103.59,2.755,139.3858,-15.6142,103.59,2.755,133.981,-21.019,103.59,2.755,133.985,-21.015,103.59,2.755,133.997,-21.003,103.59,2.755,134.001,-20.999,103.59,2.755,134.005,-20.995,103.59,2.755,134.009,-20.991,103.59,2.755,134.013,-20.987,103.59,2.755,134.025,-20.975,33.84,1.11,66.52,-1.25,78.508,9.9,0.1876,-3.8937,0.2104,-7.0545,0.3155,-8.2771,0.679,-8.0001,1.4291,-6.5637,0175842D FP Equity,#N/A N/A
06/24/2020,06/29/2020,TOTAL,Total Capital International,Aa3,Negative,A+,Negative,NR,-,Aa3 / A+ / NR,-,Sr, , -,1600, -,800,40,2,NCL,Fixed,3.386,-,06/29/2060,2% 30yr UST due 02/15/50,195,,-8,-,-,202.5,195,0,-,-,,20,7.5,-,1.5,3.386,100,Yes,CORP,Investment Grade,Active,9,9,-,-,No,No,Yes,Yes,No,No,Refi - Bank,GCP,2000,,No,Barc,BofA,Citi,Credit Agricole Corporate and Investment Bank (New York),DB,HSBC,MS,MUFG,Std Chrtrd,-,MS,Public Offering,-,-,Energy & Power,Majors/Integrateds,89153VAW9,US89153VAW90,06/22/2020,2,0,France,W. Europe,Europe, ,800,USD,1,NCL,-,6,-,-,-,-,-,-,TOTAL,"AMRS,EMEA",N/A,-,No,-,-,-,-,-,-,-,-,-,-,N,N,Y,912810SL Govt,102.923,3.254,183.15,-11.85,103.262,3.239,188.135,-6.865,104.463,3.187,182.5858,-12.4142,107.249,3.068,165.281,-29.719,107.249,3.068,165.285,-29.715,107.249,3.068,165.297,-29.703,107.249,3.068,165.301,-29.699,107.249,3.068,165.305,-29.695,107.249,3.068,165.309,-29.691,107.249,3.068,165.313,-29.687,107.249,3.068,165.325,-29.675,33.84,1.11,66.52,-1.25,78.508,9.9,0.1876,-3.8937,0.2104,-7.0545,0.3155,-8.2771,0.679,-8.0001,1.4291,-6.5637,0175842D FP Equity,#N/A N/A
