,C,kernel,mean_fit_time,mean_score_time,mean_train_score,std_train_score,mean_test_score,std_test_score,rank_test_score
15,0.5,sigmoid,0.02018815279006958,0.006478726863861084,0.7281130952380953,0.025959497577106215,0.7975,0.15006248698458916,1
11,0.1,sigmoid,0.016463875770568848,0.005249381065368652,0.7371755952380953,0.013570920455713637,0.7775,0.18226011631731173,2
12,0.5,linear,179.38815534114838,0.004988431930541992,0.7651249999999999,0.013040202260701315,0.7750000000000001,0.15402921800749358,3
16,1.0,linear,200.2322152853012,0.005243957042694092,0.7595982142857143,0.01372700709739895,0.7650000000000001,0.1484082207965583,4
22,10.0,rbf,0.032158076763153076,0.006502389907836914,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
21,10.0,poly,6.1935489773750305,0.0057471394538879395,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
18,1.0,rbf,0.021681249141693115,0.005492269992828369,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
17,1.0,poly,0.9958655834197998,0.0052370429039001465,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
14,0.5,rbf,0.018470346927642822,0.005214273929595947,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
13,0.5,poly,0.2908104658126831,0.005972802639007568,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
1,0.001,poly,0.01442807912826538,0.005753993988037109,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
0,0.001,linear,31.819644391536713,0.007494747638702393,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
10,0.1,rbf,0.017464935779571533,0.00548553466796875,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
9,0.1,poly,0.038895487785339355,0.004987061023712158,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
7,0.01,sigmoid,0.017204105854034424,0.0052359700202941895,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
6,0.01,rbf,0.017723560333251953,0.004965662956237793,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
5,0.01,poly,0.015742242336273193,0.005734086036682129,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
4,0.01,linear,47.229884564876556,0.005495131015777588,0.7545505952380953,0.0167272927424463,0.765,0.20279299790673247,5
3,0.001,sigmoid,0.020676136016845703,0.006983399391174316,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
2,0.001,rbf,0.01773679256439209,0.005734622478485107,0.7515505952380953,0.020447637856732214,0.765,0.20279299790673247,5
8,0.1,linear,113.92063254117966,0.005485713481903076,0.7831279761904762,0.013168155686814186,0.7374999999999999,0.2265364209128413,21
20,10.0,linear,442.8518919348717,0.006972789764404297,0.7399732142857143,0.014432800277563657,0.7150000000000001,0.12658988901172163,22
19,1.0,sigmoid,0.016720831394195557,0.005221962928771973,0.6781279761904762,0.014298321260163479,0.7,0.09924716620639601,23
23,10.0,sigmoid,0.01920342445373535,0.007113397121429443,0.6642113095238095,0.03211896640247947,0.6699999999999999,0.0790569415042095,24
