,C,kernel,mean_fit_time,mean_score_time,mean_train_score,std_train_score,mean_test_score,std_test_score,rank_test_score
8,10.0,linear,7.052186012268066,0.008095502853393555,-10.114277739685871,0.0,-13.396517311056728,0.0,1
16,50.0,linear,41.378581047058105,0.008103132247924805,-10.069951419030144,0.0,-13.432854982401595,0.0,2
12,25.0,linear,15.899194478988647,0.007144451141357422,-10.087424435566986,0.0,-13.488035450585421,0.0,3
20,100.0,linear,116.24431800842285,0.00924825668334961,-10.055594568425981,0.0,-13.550256536017756,0.0,4
4,1.0,linear,1.4743146896362305,0.016138315200805664,-10.66295875186784,0.0,-13.624474432339701,0.0,5
0,0.1,linear,0.20422744750976562,0.012155294418334961,-24.31208344956683,0.0,-39.74482735260268,0.0,6
22,100.0,rbf,0.04203176498413086,0.009833335876464844,-46.4634734465303,0.0,-92.34949974827995,0.0,7
3,0.1,sigmoid,0.04468083381652832,0.010355949401855469,-95.25563746974566,0.0,-98.70556381538796,0.0,8
2,0.1,rbf,0.05644941329956055,0.02104640007019043,-94.37567366223925,0.0,-99.31766651946546,0.0,9
7,1.0,sigmoid,0.036145687103271484,0.01020956039428711,-86.86387490968586,0.0,-101.47632915329376,0.0,10
1,0.1,poly,0.035730838775634766,0.013008356094360352,-93.6809374705154,0.0,-102.35234710169301,0.0,11
5,1.0,poly,0.037400245666503906,0.012040376663208008,-91.45879234825365,0.0,-103.59064981436246,0.0,12
9,10.0,poly,0.04087543487548828,0.005186557769775391,-83.84763482275501,0.0,-104.55589334050386,0.0,13
13,25.0,poly,0.05465078353881836,0.010974884033203125,-79.04076914074491,0.0,-106.09550209734054,0.0,14
17,50.0,poly,0.05560183525085449,0.008040904998779297,-74.09604150173053,0.0,-106.63778049479737,0.0,15
18,50.0,rbf,0.040979862213134766,0.012199640274047852,-55.155813888769686,0.0,-108.17483105890254,0.0,16
21,100.0,poly,0.06187748908996582,0.008025884628295898,-70.57826620275141,0.0,-108.42105381310292,0.0,17
6,1.0,rbf,0.04016613960266113,0.009076833724975586,-77.81854048666841,0.0,-113.62296662429904,0.0,18
14,25.0,rbf,0.04623699188232422,0.011608362197875977,-61.60472125273945,0.0,-118.47977074139482,0.0,19
10,10.0,rbf,0.03252768516540527,0.011309146881103516,-67.42634201336594,0.0,-125.2988743757198,0.0,20
11,10.0,sigmoid,0.037889957427978516,0.010011434555053711,-276.9580588408841,0.0,-236.4834437611836,0.0,21
15,25.0,sigmoid,0.04233837127685547,0.014440298080444336,-701.9103010845713,0.0,-474.3849625233849,0.0,22
19,50.0,sigmoid,0.0343019962310791,0.013674259185791016,-1405.0881959502651,0.0,-857.2959251322536,0.0,23
23,100.0,sigmoid,0.03805398941040039,0.007124900817871094,-2812.0034131368925,0.0,-1602.4009693676448,0.0,24
